Threshold: 0.1
Enable layer loss: False
total desired batch size: 131072
Mini-batch size: 16*1024
=> calculated gradient accumulation steps: 8
=> calculated gradient accumulation steps: 8
Training max steps: 300001Num GPUs: 1num decayed parameter tensors: 6, with 46,497,792 parameters
num non-decayed parameter tensors: 8, with 9,984 parameters
@ 133 train 6.98334599 , allloss: 6.9833, lr:1.2000e-03, norm:0.5434, dt: 2635.24ms, tok/sec: 49738.15, flops:19.74, batch-reuse:1
@ 134 train 7.03524876 , allloss: 7.0352, lr:1.2000e-03, norm:0.3079, dt: 2635.00ms, tok/sec: 49742.71, flops:19.74, batch-reuse:1
@ 135 train 6.93856096 , allloss: 6.9386, lr:1.2000e-03, norm:0.5567, dt: 2636.31ms, tok/sec: 49717.95, flops:19.73, batch-reuse:1
@ 136 train 6.99022818 , allloss: 6.9902, lr:1.2000e-03, norm:0.5625, dt: 2634.21ms, tok/sec: 49757.57, flops:19.75, batch-reuse:1
@ 137 train 6.88268614 , allloss: 6.8827, lr:1.2000e-03, norm:0.4138, dt: 2631.53ms, tok/sec: 49808.28, flops:19.77, batch-reuse:1
@ 138 train 6.87599850 , allloss: 6.8760, lr:1.2000e-03, norm:0.4352, dt: 2633.49ms, tok/sec: 49771.28, flops:19.75, batch-reuse:1
@ 139 train 6.84553576 , allloss: 6.8455, lr:1.2000e-03, norm:0.5793, dt: 2631.19ms, tok/sec: 49814.66, flops:19.77, batch-reuse:1
@ 140 train 6.85929585 , allloss: 6.8593, lr:1.2000e-03, norm:0.4219, dt: 2634.06ms, tok/sec: 49760.47, flops:19.75, batch-reuse:1
@ 141 train 6.86282253 , allloss: 6.8628, lr:1.2000e-03, norm:0.4575, dt: 2633.56ms, tok/sec: 49769.82, flops:19.75, batch-reuse:1
@ 142 train 6.96991110 , allloss: 6.9699, lr:1.2000e-03, norm:0.3802, dt: 2635.11ms, tok/sec: 49740.68, flops:19.74, batch-reuse:1
@ 143 train 6.93076944 , allloss: 6.9308, lr:1.2000e-03, norm:0.4527, dt: 2635.13ms, tok/sec: 49740.23, flops:19.74, batch-reuse:1
@ 144 train 6.89798403 , allloss: 6.8980, lr:1.2000e-03, norm:0.4657, dt: 2635.89ms, tok/sec: 49725.93, flops:19.74, batch-reuse:1
@ 145 train 6.90612459 , allloss: 6.9061, lr:1.2000e-03, norm:0.4396, dt: 2635.16ms, tok/sec: 49739.67, flops:19.74, batch-reuse:1
@ 146 train 7.04461098 , allloss: 7.0446, lr:1.2000e-03, norm:0.3786, dt: 2635.09ms, tok/sec: 49740.95, flops:19.74, batch-reuse:1
@ 147 train 6.89236403 , allloss: 6.8924, lr:1.2000e-03, norm:0.3247, dt: 2634.37ms, tok/sec: 49754.58, flops:19.75, batch-reuse:1
@ 148 train 6.87245178 , allloss: 6.8725, lr:1.2000e-03, norm:0.3838, dt: 2633.85ms, tok/sec: 49764.49, flops:19.75, batch-reuse:1
