@ 168 train 6.27796984, lr:6.0000e-04, norm:0.4629, dt: 440.60ms, tok/sec: 297488.36, flops:226.08, batch-reuse:1
@ 169 train 6.31770706, lr:6.0000e-04, norm:0.4665, dt: 442.54ms, tok/sec: 296182.30, flops:225.08, batch-reuse:1
@ 170 train 6.30638266, lr:6.0000e-04, norm:0.3996, dt: 439.05ms, tok/sec: 298538.42, flops:226.87, batch-reuse:1
@ 171 train 6.28310251, lr:6.0000e-04, norm:0.4462, dt: 439.22ms, tok/sec: 298418.34, flops:226.78, batch-reuse:1
@ 172 train 6.33326578, lr:6.0000e-04, norm:0.3896, dt: 436.67ms, tok/sec: 300159.76, flops:228.11, batch-reuse:1
@ 173 train 6.30912685, lr:6.0000e-04, norm:0.3875, dt: 436.79ms, tok/sec: 300079.15, flops:228.04, batch-reuse:1
@ 174 train 6.46398306, lr:6.0000e-04, norm:0.4743, dt: 439.07ms, tok/sec: 298523.67, flops:226.86, batch-reuse:1
@ 175 train 6.38712263, lr:6.0000e-04, norm:1.1926, dt: 447.60ms, tok/sec: 292832.65, flops:222.54, batch-reuse:1
@ 176 train 6.38394594, lr:6.0000e-04, norm:0.5945, dt: 442.07ms, tok/sec: 296496.03, flops:225.32, batch-reuse:1
@ 177 train 6.33768129, lr:6.0000e-04, norm:0.5246, dt: 438.50ms, tok/sec: 298908.67, flops:227.16, batch-reuse:1
@ 178 train 6.38507175, lr:6.0000e-04, norm:0.5702, dt: 440.50ms, tok/sec: 297554.70, flops:226.13, batch-reuse:1
@ 179 train 6.24337435, lr:6.0000e-04, norm:0.4549, dt: 440.27ms, tok/sec: 297709.71, flops:226.24, batch-reuse:1
@ 180 train 6.37972975, lr:6.0000e-04, norm:0.5439, dt: 440.48ms, tok/sec: 297568.39, flops:226.14, batch-reuse:1
@ 181 train 6.26324844, lr:6.0000e-04, norm:0.5435, dt: 438.60ms, tok/sec: 298844.98, flops:227.11, batch-reuse:1
@ 182 train 6.36342812, lr:6.0000e-04, norm:0.4552, dt: 440.00ms, tok/sec: 297889.09, flops:226.38, batch-reuse:1
@ 183 train 6.31409645, lr:6.0000e-04, norm:0.4515, dt: 438.75ms, tok/sec: 298736.82, flops:227.02, batch-reuse:1
@ 184 train 6.20592260, lr:6.0000e-04, norm:0.4211, dt: 441.15ms, tok/sec: 297111.34, flops:225.79, batch-reuse:1
@ 185 train 6.23696375, lr:6.0000e-04, norm:0.4464, dt: 440.35ms, tok/sec: 297651.20, flops:226.20, batch-reuse:1
@ 186 train 6.39621973, lr:6.0000e-04, norm:0.4432, dt: 441.40ms, tok/sec: 296947.17, flops:225.66, batch-reuse:1
@ 187 train 6.52484703, lr:6.0000e-04, norm:0.4115, dt: 438.75ms, tok/sec: 298742.83, flops:227.03, batch-reuse:1
@ 188 train 6.37828541, lr:6.0000e-04, norm:0.3604, dt: 440.56ms, tok/sec: 297510.58, flops:226.09, batch-reuse:1
@ 189 train 6.48493958, lr:6.0000e-04, norm:0.3369, dt: 439.62ms, tok/sec: 298150.98, flops:226.58, batch-reuse:1
@ 190 train 6.43499708, lr:6.0000e-04, norm:0.3892, dt: 440.65ms, tok/sec: 297449.25, flops:226.05, batch-reuse:1
@ 191 train 6.41327190, lr:6.0000e-04, norm:0.3145, dt: 441.62ms, tok/sec: 296800.96, flops:225.55, batch-reuse:1
@ 192 train 6.47402859, lr:6.0000e-04, norm:0.3515, dt: 439.53ms, tok/sec: 298209.04, flops:226.62, batch-reuse:1
@ 193 train 6.35451746, lr:6.0000e-04, norm:0.3794, dt: 440.89ms, tok/sec: 297287.43, flops:225.92, batch-reuse:1
@ 194 train 6.47844601, lr:6.0000e-04, norm:0.3592, dt: 440.76ms, tok/sec: 297376.52, flops:225.99, batch-reuse:1
@ 195 train 6.43934870, lr:6.0000e-04, norm:0.3392, dt: 441.86ms, tok/sec: 296633.77, flops:225.43, batch-reuse:1
@ 196 train 6.33784294, lr:6.0000e-04, norm:0.3776, dt: 442.64ms, tok/sec: 296112.11, flops:225.03, batch-reuse:1
@ 197 train 6.34374523, lr:6.0000e-04, norm:0.3419, dt: 436.55ms, tok/sec: 300244.35, flops:228.17, batch-reuse:1
@ 198 train 6.32893229, lr:6.0000e-04, norm:0.3621, dt: 436.82ms, tok/sec: 300059.01, flops:228.03, batch-reuse:1
